session,plane,depth (um),pt_supervoxel_id,nwb_x,nwb_y,nwb_z,visual_area,layer,classification_system,cell_type
ses-4-scan-7,4,220,101410362746008368,266442.0,127762.0,16119.0,RL,L4,,
ses-4-scan-7,4,220,101480800276768800,266816.0,128269.0,16629.0,RL,L4,,
ses-4-scan-7,4,220,101832987729093216,269568.0,130832.0,17503.0,RL,L4,,
ses-4-scan-7,4,220,103450507712257520,281600.0,124000.0,24861.0,RL,L4,,
ses-4-scan-7,4,220,100425131608357200,259440.0,127511.0,16385.0,RL,L4,,
ses-4-scan-7,4,220,102043750834195696,271280.0,128672.0,21272.0,RL,L4,,
ses-4-scan-7,4,220,101270038245371520,265627.0,130828.0,21056.0,RL,L4,,
ses-4-scan-7,4,220,102395319945782304,273680.0,126173.0,23468.0,RL,L4,,
ses-4-scan-7,4,220,98314137934869264,243785.0,127787.0,15419.0,V1,L4,,
ses-4-scan-7,4,220,101691907515735616,268384.0,128464.0,24126.0,RL,L4,,
ses-4-scan-7,4,220,99932551606734192,255591.0,127676.0,25291.0,V1,L4,,
ses-4-scan-7,4,220,97751601036612592,240115.0,130947.0,21131.0,V1,L4,,
ses-4-scan-7,4,220,98032732550353264,242160.0,128672.0,22351.0,V1,L4,,
ses-4-scan-7,4,220,96274819146240592,229124.0,138329.0,18806.0,V1,L4,,
ses-4-scan-7,4,220,96766988105528560,232496.0,134912.0,19129.0,V1,L4,,
ses-4-scan-7,4,220,96133738261587296,228061.0,135454.0,20106.0,V1,L4,,
ses-4-scan-7,4,220,96696413605399264,232026.0,133448.0,22051.0,V1,L4,,
ses-4-scan-7,4,220,97399826437827056,237594.0,131488.0,24181.0,V1,L4,,
ses-4-scan-7,4,220,97751326762835360,239776.0,128816.0,25859.0,V1,L4,,
ses-4-scan-7,4,220,93952719106661232,212456.0,138741.0,17381.0,V1,L4,,
ses-4-scan-7,4,220,95429844527183824,222768.0,134160.0,19104.0,V1,L4,,
ses-4-scan-7,4,220,94866757269042976,219079.0,133155.0,20115.0,V1,L4,,
ses-4-scan-7,4,220,95429844862722832,223088.0,134064.0,21659.0,V1,L4,,
ses-4-scan-7,4,220,95640676284519616,224448.0,131840.0,22238.0,V1,L4,,
ses-4-scan-7,4,220,96273788823757280,229248.0,130304.0,22283.0,V1,L4,,
ses-4-scan-7,4,220,96203145336076960,228480.0,128704.0,23494.0,V1,L4,,
ses-4-scan-7,4,220,93107813072618848,206336.0,134976.0,16456.0,V1,L4,,
ses-4-scan-7,4,220,93037719340862032,205392.0,137280.0,17702.0,V1,L4,,
ses-4-scan-7,4,220,93740925746223936,210784.0,133487.0,17661.0,V1,L4,,
ses-4-scan-7,4,220,94937057428044240,219536.0,132672.0,21226.0,V1,L4,,
ses-4-scan-7,4,220,91348662986779616,193410.0,135823.0,15325.0,V1,L4,,
ses-4-scan-7,4,220,92404675655204032,200800.0,139440.0,18596.0,V1,L4,excitatory_neuron,23P
ses-4-scan-7,4,220,92686150564920832,203200.0,139216.0,18166.0,V1,L4,,
ses-4-scan-7,4,220,91701125585329840,196112.0,140080.0,18165.0,V1,L4,,
ses-4-scan-7,4,220,92545344558213392,202160.0,138816.0,19535.0,V1,L4,,
ses-4-scan-7,4,220,92474769722853472,201363.0,137160.0,20162.0,V1,L4,,
ses-4-scan-7,4,220,92896982322162912,204624.0,137152.0,21207.0,V1,L4,,
ses-4-scan-7,4,220,92966595353714096,205152.0,131632.0,23003.0,V1,L4,excitatory_neuron,23P
ses-4-scan-7,4,220,93670282996309856,210032.0,131440.0,24110.0,V1,L4,,
ses-4-scan-7,4,220,91559907060932416,194781.0,136522.0,18377.0,V1,L4,,
ses-4-scan-7,4,220,91278913321365072,193024.0,140064.0,19485.0,V1,L4,,
ses-4-scan-7,4,220,91137626077493328,191680.0,135904.0,19729.0,V1,L4,,
ses-4-scan-7,4,220,92051870599726384,198458.0,132019.0,24132.0,V1,L4,,
ses-4-scan-7,4,220,92263045484766784,200064.0,132384.0,23750.0,V1,L4,,
ses-4-scan-7,4,220,92825720761671168,204014.0,130547.0,25318.0,V1,L4,,
ses-4-scan-7,4,220,91559426829873088,194788.0,133231.0,24508.0,V1,L4,,
ses-4-scan-7,4,220,89167300636260336,177317.0,136086.0,14915.0,V1,L4,,
ses-4-scan-7,4,220,89307625875367520,178403.0,133098.0,15787.0,V1,L4,,
ses-4-scan-7,4,220,89730594858288816,181728.0,138624.0,20107.0,V1,L4,,
ses-4-scan-7,4,220,90856357460463312,189888.0,137536.0,21190.0,V1,L4,,
ses-4-scan-7,4,220,90926382674615472,190320.0,134992.0,21950.0,V1,L4,,
ses-4-scan-7,4,220,90785576600975856,189120.0,134656.0,22942.0,V1,L4,,
ses-4-scan-7,4,220,90715207990904320,188512.0,134384.0,23859.0,V1,L4,,
ses-4-scan-7,4,220,93036964701612240,205568.0,131776.0,27385.0,V1,L4,,
ses-4-scan-7,4,220,87971444637658864,168983.0,139282.0,17457.0,V1,L4,,
ses-4-scan-7,4,220,88816075860565792,174635.0,140914.0,18594.0,V1,L4,,
ses-4-scan-7,4,220,87901419558339328,168384.0,141680.0,18284.0,V1,L4,,
ses-4-scan-7,4,220,89519351388152848,180160.0,137664.0,21669.0,V1,L4,,
ses-4-scan-7,4,220,89378201650077440,178961.0,134817.0,22205.0,V1,L4,,
ses-4-scan-7,4,220,89378339156498352,178800.0,135664.0,23032.0,V1,L4,,
ses-4-scan-7,4,220,90574058386808464,187600.0,131552.0,25206.0,V1,L4,,
ses-4-scan-7,4,220,87479069922449152,165232.0,140912.0,20069.0,V1,L4,,
ses-4-scan-7,4,220,88463133231876912,172429.0,132763.0,23069.0,V1,L4,,
ses-4-scan-7,4,220,88604008092448288,173248.0,133600.0,22864.0,V1,L4,,
ses-4-scan-7,4,220,88956264264348320,175728.0,136496.0,23850.0,V1,L4,,
ses-4-scan-7,4,220,90504033307509968,187056.0,134288.0,26089.0,V1,L4,,
ses-4-scan-7,4,220,85016163406368240,147112.0,140769.0,16416.0,V1,L4,,
ses-4-scan-7,4,220,85438307219513456,150472.0,140212.0,17306.0,V1,L4,,
ses-4-scan-7,4,220,87618982978832528,166416.0,134480.0,21982.0,V1,L4,excitatory_neuron,23P
ses-4-scan-7,4,220,86845270390146560,160448.0,137024.0,21824.0,V1,L4,,
ses-4-scan-7,4,220,87267002087442512,163776.0,133504.0,24045.0,V1,L4,,
ses-4-scan-7,4,220,87126608196014384,162848.0,136336.0,23643.0,V1,L4,,
ses-4-scan-7,4,220,87548339758845664,165581.0,132775.0,24578.0,V1,L4,,
ses-4-scan-7,4,220,88533777122667712,172648.0,134386.0,25333.0,V1,L4,,
ses-4-scan-7,4,220,85438513780214848,150351.0,141803.0,20046.0,V1,L4,,
ses-4-scan-7,4,220,85789739160199728,152832.0,137344.0,21180.0,V1,L4,,
ses-4-scan-7,4,220,86211951692514048,155712.0,137072.0,21840.0,V1,L4,,
ses-4-scan-7,4,220,85930889099837040,154016.0,140256.0,22410.0,V1,L4,,
ses-4-scan-7,4,220,86282320705248096,156448.0,137312.0,23923.0,V1,L4,,
ses-4-scan-7,4,220,87056445744411568,162301.0,137744.0,24602.0,V1,L4,,
ses-4-scan-7,4,220,87337852136296464,164333.0,137218.0,25997.0,V1,L4,,
ses-4-scan-7,4,220,83960701701857088,139616.0,141376.0,22466.0,V1,L4,,
ses-4-scan-7,4,220,104154126702647904,286640.0,123296.0,26636.0,RL,L4,,
ses-4-scan-7,4,220,105280026542935136,294608.0,123248.0,26579.0,RL,L4,excitatory_neuron,23P
ses-4-scan-7,4,220,111120151340169072,337429.0,119821.0,26847.0,RL,L4,,
ses-4-scan-7,4,220,112457705960560128,347056.0,124096.0,17347.0,RL,L4,,
ses-4-scan-7,4,220,90926381936199328,190464.0,134960.0,16096.0,V1,L4,,
ses-4-scan-7,4,220,100355450461211280,258912.0,132544.0,19119.0,RL,L4,,
ses-4-scan-7,4,220,113865149898888112,357338.0,124442.0,19717.0,RL,L4,,
